"period","dataset","column"
"2022-07","activity_performance_monthly","ORG_CODE2"
"2022-07","activity_performance_monthly","ORG_NAME1"
"2022-07","activity_performance_monthly","ORG_NAME2"
"2022-07","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-07","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-06","activity_performance_monthly","GROUP_TYPE"
"2022-06","activity_performance_monthly","MEASURE_ID"
"2022-06","activity_performance_monthly","MEASURE_NAME"
"2022-06","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-06","activity_performance_monthly","ORG_CODE1"
"2022-06","activity_performance_monthly","ORG_CODE2"
"2022-06","activity_performance_monthly","ORG_NAME1"
"2022-06","activity_performance_monthly","ORG_NAME2"
"2022-06","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-06","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-05","activity_performance_monthly","GROUP_TYPE"
"2022-05","activity_performance_monthly","MEASURE_ID"
"2022-05","activity_performance_monthly","MEASURE_NAME"
"2022-05","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-05","activity_performance_monthly","ORG_CODE1"
"2022-05","activity_performance_monthly","ORG_CODE2"
"2022-05","activity_performance_monthly","ORG_NAME1"
"2022-05","activity_performance_monthly","ORG_NAME2"
"2022-05","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-05","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-04","activity_performance_monthly","GROUP_TYPE"
"2022-04","activity_performance_monthly","MEASURE_ID"
"2022-04","activity_performance_monthly","MEASURE_NAME"
"2022-04","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-04","activity_performance_monthly","ORG_CODE1"
"2022-04","activity_performance_monthly","ORG_CODE2"
"2022-04","activity_performance_monthly","ORG_NAME1"
"2022-04","activity_performance_monthly","ORG_NAME2"
"2022-04","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-04","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-03","activity_performance_monthly","GROUP_TYPE"
"2022-03","activity_performance_monthly","MEASURE_ID"
"2022-03","activity_performance_monthly","MEASURE_NAME"
"2022-03","activity_performance_monthly","MEASURE_VALUE_SUPPRESSED"
"2022-03","activity_performance_monthly","ORG_CODE1"
"2022-03","activity_performance_monthly","ORG_CODE2"
"2022-03","activity_performance_monthly","ORG_NAME1"
"2022-03","activity_performance_monthly","ORG_NAME2"
"2022-03","activity_performance_monthly","REPORTING_PERIOD_END"
"2022-03","activity_performance_monthly","REPORTING_PERIOD_START"
"2022-02","activity_performance_monthly","GROUP_TYPE"
"2022-02","activity_performance_monthly","MEASURE_ID"
"2022-02","activity_performance_monthly","MEASURE_NAME"
